show_id,type,title,director,cast,country,agerating,duration,listed_in,description,platform
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,unknown,United States,PG-13,90 min,Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.",Netflix
s2,Movie,Duck the Halls: A Mickey Mouse Christmas Special,"Alonso Ramirez Ramos, Dave Wasson","Chris Diamantopoulos, Tony Anselmo, Tress MacNeille, Bill Farmer, Russi Taylor, Corey Burton",unknown,TV-G,23 min,"Animation, Family",Join Mickey and the gang as they duck the halls!,Disney+
s3,Movie,A Muppets Christmas: Letters To Santa,Kirk R. Thatcher,"Steve Whitmire, Dave Goelz, Bill Barretta, Eric Jacobson",United States,G,45 min,"Comedy, Family, Musical",Celebrate the holiday season with all your favorite Muppets.,Disney+
s4,Movie,The Starling,Theodore Melfi,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",United States,PG-13,104 min,"Comedies, Dramas",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,Netflix
s5,Movie,Confessions of a Shopaholic,P.J. Hogan,"Isla Fisher, Hugh Dancy, Joan Cusack, John Goodman, John Lithgow, Kristin Scott Thomas",United States,PG,106 min,"Comedy, Romance, Romantic Comedy",Becky writes a personal finance column en route to a high-fashion mag job.,Disney+
s6,TV Show,On the Verge,unknown,"Julie Delpy, Elisabeth Shue, Sarah Jones, Alexia Landeau, Mathieu Demy, Troy Garity, Timm Sharp, Giovanni Ribisi","France, United States",TV-MA,1 Season,"TV Comedies, TV Dramas","Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA.",Netflix
s7,Movie,Lava,James Murphy,"Kuana Kahele, Napua Greig",United States,G,9 min,"Animation, Family, Musical",A love story that takes place over millions of years.,Disney+
s8,Movie,Stowaway,Joe Penna,"Anna Kendrick, Toni Collette, Daniel Dae Kim, Shamier Anderson","Germany, United States",TV-MA,116 min,"Dramas, International Movies, Thrillers",A three-person crew on a mission to Mars faces an impossible choice when an unplanned passenger jeopardizes the lives of everyone on board.,Netflix
s9,Movie,Wild Dog,Ahishor Solomon,"Nagarjuna Akkineni, Dia Mirza, Saiyami Kher, Atul Kulakarni, Bilal Hussain, Ali Reza, Mayank Parakh",unknown,TV-MA,126 min,"Action & Adventure, International Movies",A brash but brilliant Indian intelligence agent leads a covert operation to nab the mastermind behind a series of attacks threatening national security.,Netflix
s10,TV Show,LEGO Disney Frozen: Northern Lights (Shorts),unknown,unknown,United States,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy",Anna and Elsa search for the missing Northern Lights.,Disney+
s11,Movie,Oloibiri,Curtis Graham,"Olu Jacobs, Richard Mofe-Damijo, William R. Moses, Taiwo Ajai-Lycett, Ifeanyi Williams, Ivie Okujaye, Dayton Sinkia, Bradley Gordon","Canada, Nigeria, United States",TV-14,86 min,"Dramas, International Movies, Thrillers","After drilling depletes a small village, a corporation finds more oil in the region, igniting tensions among the community.",Netflix
s12,TV Show,LEGO Star Wars: All Stars,unknown,"Jasmin Brown, Josh Peck, Zeno Robinson, Max Mittelman, Matthew Wood",United States,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy","Han, Chewie, Leia and more team up for new adventures!",Disney+
s13,Movie,Tell Me When,Gerardo Gatica,"Jesús Zavala, Ximena Romo, Verónica Castro, José Carlos Ruiz, Gabriel Nuncio, Rosa María Bianchi, Héctor Bonilla, Andrés Almeida",Mexico,TV-MA,97 min,"Comedies, International Movies",Workaholic Will puts his humdrum life in LA on hold to fulfill his grandpa's last wish: visiting Mexico City's most iconic sights and falling in love.,Netflix
s14,TV Show,LEGO Star Wars: All Stars (Shorts),unknown,"Matthew Wood, Yvette Brown, Nicolas Cantu, Carolyn Hennesy, Montse Hernandez, Vanessa Lengies",unknown,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy","Roger, the lovable battle droid, tells his story.",Disney+
s15,TV Show,LEGO Star Wars: Droid Tales,unknown,"Tom Kane, Anthony Daniels, Trevor Devall, Kirby Morrow, Sam Vincent, Michael Donovan",United States,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy",C-3PO recounts the great adventures of the Rebels.,Disney+
s16,TV Show,Zero,unknown,"Giuseppe Dave Seke, Haroun Fall, Beatrice Grannò, Dylan Magon, Daniela Scattolin, Madior Fall, Virgina Diop",Italy,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas","A shy teen with the power to turn invisible must get it under control to help defend his neighborhood, putting aside the pursuit of his artistic dream.",Netflix
s17,TV Show,Izzy's Koala World,unknown,"Izzy Bee, Ali Bee, Tim Bee",Australia,TV-Y,2 Seasons,Kids' TV,Young koala caretaker Izzy Bee and her family rescue cuddly creatures in need and help them head back into the wild on Australia’s Magnetic Island.,Netflix
s18,TV Show,LEGO Star Wars: Resistance Rises (Shorts),unknown,unknown,"United States, Denmark",TV-Y7-FV,1 Season,"Action-Adventure, Animation, Comedy",Follow five untold stories before the Force awakened.,Disney+
s19,Movie,Keymon and Nani in Space Adventure,unknown,unknown,unknown,TV-Y,76 min,"Children & Family Movies, Comedies","For Rohan and his magical pal, Keymon, a trip to visit their grandmother turns into the rescue mission of a lifetime when she is kidnapped by aliens!",Netflix
s20,TV Show,LEGO Star Wars: The Freemaker Adventures,unknown,"Matt Sloan, Trevor Devall, Greg Baldwin, Michael Daingerfield, Vanessa Lengies, Grey Griffin",United States,TV-Y7,2 Seasons,"Action-Adventure, Animation, Comedy",12-year old Rowan Freemaker discovers the Kyber Saber.,Disney+
s21,Movie,Motu Patlu Dino Invasion,Suhas Kadav,"Sourav Chakraborty, Mayur Vyas, Anil Datt",unknown,TV-Y7,80 min,"Children & Family Movies, Comedies","A time machine sends Motu and Patlu back to the dinosaur period, but the real trouble starts when the reptiles travel back to the present day with them!",Netflix
s22,TV Show,LEGO Star Wars: The Freemaker Adventures (Shorts),unknown,unknown,unknown,TV-Y7,1 Season,"Action-Adventure, Animation, Comedy",The Freemakers lend a helping hand to the rebel fleet.,Disney+
